Country,A/HRC/RES/22/1,A/HRC/RES/22/2,A/HRC/RES/22/12,A/HRC/RES/22/17,A/HRC/DEC22/117,A/HRC/RES/22/23,A/HRC/RES/22/24,A/HRC/RES/22/25,A/HRC/RES/22/26,A/HRC/RES/22/27,A/HRC/RES/22/28,A/HRC/RES/22/29,A/HRC/RES/22/30,A/HRC/RES/22/33,A/HRC/RES/22/34,A/HRC/RES/23/1,A/HRC/RES/23/11,A/HRC/RES/23/12,A/HRC/RES/23/14,A/HRC/RES/23/15,A/HRC/RES/23/16,A/HRC/RES/23/26,A/HRC/24/L.40,A/HRC/24/L.41,A/HRC/24/L.43,A/HRC/24/L.44,A/HRC/24/L.46,A/HRC/24/L.47,A/HRC/24/L.48,A/HRC/24/L.51,A/HRC/24/L.52,A/HRC/RES/24/4,A/HRC/RES/24/13,A/HRC/RES/24/14,A/HRC/RES/24/22,A/HRC/RES/24/24,A/HRC/RES/24/26,A/HRC/RES/24/35,A/HRC/25/L.46,A/HRC/25/L.47,A/HRC/RES/25/1,A/HRC/RES/25/4,A/HRC/RES/25/9,A/HRC/RES/25/15,A/HRC/RES/25/16,A/HRC/RES/25/22,A/HRC/RES/25/30,A/HRC/26/L.34,A/HRC/26/L.35,A/HRC/26/L.36,A/HRC/26/L.37,A/HRC/RES/26/2,A/HRC/RES/26/6,A/HRC/RES/26/9,A/HRC/RES/26/11,A/HRC/RES/26/16,A/HRC/RES/26/23,A/HRC/RES/26/25,A/HRC/RES/26/26,A/HRC/RES/26/30,A/HRC/RES/S-21/1,A/HRC/27/L.33,A/HRC/27/L.44,A/HRC/27/L.34,A/HRC/27/L.35,A/HRC/27/L.36,A/HRC/27/L.38,A/HRC/27/L.39,A/HRC/27/L.40,A/HRC/27/L.41,A/HRC/27/L.42,A/HRC/27/L.43,A/HRC/27/L.45,A/HRC/27/L.46,A/HRC/27/L.47,A/HRC/27/L.48,A/HRC/27/L.49,A/HRC/27/L.50,A/HRC/27/L.51,A/HRC/RES/27/2,A/HRC/RES/27/9,A/HRC/RES/27/10,A/HRC/RES/27/16,A/HRC/RES/27/17,A/HRC/RES/27/21,A/HRC/RES/27/30,A/HRC/RES/27/32,A/HRC/28/L.36,A/HRC/28/L.38,A/HRC/28/L.42,A/HRC/RES/28/1,A/HRC/RES/28/3,A/HRC/RES/28/5,A/HRC/RES/28/7,A/HRC/RES/28/8,A/HRC/RES/28/14,A/HRC/RES/28/17,A/HRC/RES/28/20,A/HRC/RES/28/21,A/HRC/RES/28/22,A/HRC/RES/28/24,A/HRC/RES/28/25,A/HRC/RES/28/26,A/HRC/RES/28/27,A/HRC/29/L.26,A/HRC/29/L.27,A/HRC/29/L.28,A/HRC/29/L.29,A/HRC/29/L.31,A/HRC/29/L.37,A/HRC/29/L.38,A/HRC/29/L.39,A/HRC/29/L.40,A/HRC/RES/29/3,A/HRC/RES/29/10,A/HRC/RES/29/16,A/HRC/RES/29/17,A/HRC/RES/29/22,A/HRC/RES/29/23,A/HRC/RES/29/25,A/HRC/30/L.33,A/HRC/30/L.34,A/HRC/30/L.35,A/HRC/30/L.36,A/HRC/30/L.37,A/HRC/30/L.38,A/HRC/30/L.39,A/HRC/30/L.40,A/HRC/RES/30/2,A/HRC/RES/30/5,A/HRC/RES/30/6,A/HRC/RES/30/10,A/HRC/RES/30/12,A/HRC/RES/30/13,A/HRC/RES/30/15,A/HRC/RES/30/16,A/HRC/RES/30/17,A/HRC/RES/30/29,A/HRC/31/L.41,A/HRC/31/L.42,A/HRC/31/L.43,A/HRC/31/L.44,A/HRC/31/L.45,A/HRC/31/L.46,A/HRC/31/L.47,A/HRC/31/L.48,A/HRC/31/L.49,A/HRC/31/L.50,A/HRC/31/L.51,A/HRC/31/L.53,A/HRC/31/L.54,A/HRC/31/L.55,A/HRC/31/L.56,A/HRC/31/L.57,A/HRC/31/L.58,A/HRC/31/L.59,A/HRC/31/L.60,A/HRC/31/L.61,A/HRC/31/L.62,A/HRC/31/L.63,A/HRC/31/L.64,A/HRC/31/L.65,A/HRC/31/L.66,A/HRC/31/L.67,A/HRC/31/L.68,A/HRC/31/L.69,A/HRC/31/L.70,A/HRC/31/L.71,A/HRC/31/L.72,A/HRC/31/L.74,A/HRC/31/L.75,A/HRC/31/L.76,A/HRC/31/L.78,A/HRC/31/L.79,A/HRC/RES/31/1,A/HRC/RES/31/4,A/HRC/RES/31/11,A/HRC/RES/31/17,A/HRC/RES/31/19,A/HRC/RES/31/22,A/HRC/RES/31/30,A/HRC/RES/31/32,A/HRC/RES/31/34,A/HRC/RES/31/35,A/HRC/RES/31/36,A/HRC/RES/31/37,A/HRC/32/L.36,A/HRC/32/L.37,A/HRC/32/L.42,A/HRC/32/L.43,A/HRC/32/L.52,A/HRC/32/L.54,A/HRC/32/L.53,A/HRC/32/L.55,A/HRC/32/L.56,A/HRC/32/L.59,A/HRC/32/L.60,A/HRC/32/L.61,A/HRC/32/L.62,A/HRC/32/L.63,A/HRC/32/L.64,A/HRC/32/L.65,A/HRC/32/L.67,A/HRC/32/L.69,A/HRC/32/L.70,A/HRC/32/L.71,A/HRC/32/L.72,A/HRC/32/L.80,A/HRC/32/L.81,A/HRC/32/L.73,A/HRC/32/L.74,A/HRC/32/L.75,A/HRC/32/L.76,A/HRC/32/L.77,A/HRC/32/L.78,A/HRC/32/L.79,A/HRC/32/L.82,A/HRC/32/L.83,A/HRC/32/L.84,A/HRC/32/L.89,A/HRC/32/L.86,A/HRC/32/L.87,A/HRC/32/L.88,A/HRC/RES/32/2,A/HRC/RES/32/9,A/HRC/RES/32/12,A/HRC/RES/32/23,A/HRC/RES/32/25,A/HRC/RES/32/26,A/HRC/RES/32/28,A/HRC/RES/32/29,A/HRC/RES/32/31,A/HRC/33/L.34,A/HRC/33/L.35,A/HRC/33/L.36,A/HRC/33/L.37,A/HRC/33/L.38,A/HRC/33/L.42,A/HRC/33/L.46,A/HRC/33/L.49,A/HRC/33/L.51,A/HRC/RES/33/3,A/HRC/RES/33/4,A/HRC/RES/33/10,A/HRC/RES/33/14,A/HRC/RES/33/19,A/HRC/RES/33/21,A/HRC/RES/33/23,A/HRC/RES/33/24,A/HRC/RES/33/30,A/HRC/RES/S-25/1,A/HRC/RES/34/3,A/HRC/RES/34/8,A/HRC/RES/34/11,A/HRC/RES/34/12,A/HRC/34/L.42,A/HRC/34/L.43,A/HRC/34/L.44,A/HRC/34/L.45,A/HRC/34/L.51,A/HRC/34/L.47,A/HRC/RES/34/13,A/HRC/RES/34/23,A/HRC/RES/34/26,A/HRC/RES/34/27,A/HRC/RES/34/28,A/HRC/RES/34/29,A/HRC/RES/34/30,A/HRC/RES/34/31,A/HRC/RES/34/34,A/HRC/RES/34/36,A/HRC/RES/34/37,A/HRC/34/L.52,A/HRC/RES/35/3,A/HRC/RES/35/4,A/HRC/RES/35/8,A/HRC/RES/35/13,A/HRC/RES/35/21,A/HRC/35/L.39,A/HRC/35/L.40,A/HRC/35/L.45,A/HRC/35/L.47,A/HRC/35/L.48,A/HRC/35/L.41,A/HRC/35/L.42,A/HRC/RES/35/26,A/HRC/RES/35/27,A/HRC/RES/35/31,A/HRC/35/L.43,A/HRC/35/L.44,A/HRC/35/L.46,A/HRC/RES/36/1,A/HRC/RES/36/2,A/HRC/RES/36/3,A/HRC/RES/36/4,A/HRC/RES/36/9,A/HRC/RES/36/10,A/HRC/36/L.63,A/HRC/36/L.64,A/HRC/RES/36/17,A/HRC/RES/36/19,A/HRC/RES/36/20,A/HRC/RES/36/21,A/HRC/RES/36/22,A/HRC/RES/36/24,A/HRC/RES/36/30,A/HRC/36/L.37,A/HRC/36/L.38,A/HRC/36/L.39,A/HRC/36/L.40,A/HRC/36/L.41,A/HRC/36/L.42,A/HRC/36/L.62,A/HRC/36/L.43,A/HRC/36/L.45,A/HRC/36/L.46,A/HRC/36/L.47,A/HRC/36/L.48,A/HRC/36/L.49,A/HRC/36/L.50,A/HRC/36/L.51,A/HRC/36/L.52,A/HRC/36/L.53,A/HRC/36/L.54,A/HRC/36/L.55,A/HRC/36/L.56,A/HRC/36/L.57,A/HRC/36/L.58,A/HRC/36/L.59,A/HRC/36/L.60,A/HRC/36/L.61,A/HRC/RES/S-27/1
IRL,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,1,2,2,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,0,0,0,0,1,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
IRQ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,1,1,0,2,1,1,0,2,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,0,1,2,1,1,2,2,2,1,2,1
ITA,1,0,2,2,1,1,1,1,1,1,1,1,2,0,1,1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,1,2,2,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
JPN,2,0,0,2,2,1,1,1,1,1,1,1,1,2,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,2,1,1,0,1,1,0,2,2,1,0,0,0,0,0,0,0,1,0,2,1,2,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,2,1,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,2,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KAZ,2,1,1,1,1,3,2,1,1,1,1,1,1,2,1,3,1,1,2,0,2,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,0,1,1,1,1,1,0,0,0,0,1,1,2,4,2,1,1,2,0,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
KEN,2,1,1,2,0,2,1,2,2,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,0,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,3,2,1,2,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,0,0,1,0,0,1,0,4,0,1,1,2,2,1,1,2,2,2,2,2,0,0,0,0,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,1,1,1,2,0,1,1,2,1,1,1,1,2,2,2,2,2,0,2,0,2,0,0,0,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,1,1,1,1,0,2,2,2,1,2,1,0,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,0,1,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2
KGZ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,1,1,1,1,2,0,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,0,0,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,2,1,2,2,2,2,1,2,1,1,2,0,2,2,1,2,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,0,0,0,2,2,0,2,2,1,1,0,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KOR,1,0,2,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,1,2,2,0,0,0,1,2,2,2,0,2,0,0,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,2,0,1,4,1,0,2,1,1,0,1,1,0,0,0,2,0,0,0,0,0,2,0,1,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1,2,0,2,2,0,0,0,1,0,0,0,1,1,2,1,1,1,1,1,2,2,0,0,0,0,2,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,2,1,1,1,2,2,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KWT,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
LBY,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
LVA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,2,2,0,0,1,0,1,1,1,2,1,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,2,1,1,1,1,1,1,2,0,2,1,0,0,0,0,0,0,0,1,1,2,2,1,1,2,1,2,1,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MAR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,0,4,0,1,1,1,2,1,2,1,0,2,2,2,0,0,0,0,1,2,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,0,2,2,2,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,1,1,2,1,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MDA,1,0,2,2,1,1,1,1,1,1,1,1,2,2,1,1,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MDV,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,0,1,0,4,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,2,1,1,1,1,1,1,2,1,0,0,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
