Country,A/HRC/RES/1/2,A/HRC/DEC/1/106,A/HRC/DEC/1/107,A/HRC/RES/S-1/1,A/HRC/RES/S-2/1,A/HRC/2/L.48,A/HRC/RES/S-3/1,A/HRC/RES/2/1,A/HRC/RES/2/3,A/HRC/RES/2/4,A/HRC/DEC/2/109,A/HRC/DEC/2/115,A/HRC/RES/3/1,A/HRC/RES/3/2,A/HRC/DEC/3/103,A/HRC/RES/4/5,A/HRC/RES/4/6,A/HRC/RES/4/9,A/HRC/DEC/4/103,A/HRC/RES/6/3,A/HRC/RES/6/7,A/HRC/RES/6/19,A/HRC/RES/6/21,A/HRC/RES/6/22,A/HRC/RES/6/23,A/HRC/RES/6/37,A/HRC/RES/S-6/1,A/HRC/RES/7/1,A/HRC/7/L.39,A/HRC/RES/7/2,A/HRC/RES/7/4,A/HRC/RES/7/5,A/HRC/RES/7/11,A/HRC/RES/7/15,A/HRC/RES/7/18,A/HRC/RES/7/19,A/HRC/RES/7/21,A/HRC/RES/7/30,A/HRC/RES/7/33,A/HRC/RES/7/36,A/HRC/RES/8/5,A/HRC/RES/8/9,A/HRC/RES/9/2,A/HRC/RES/9/4,A/HRC/RES/9/18,A/HRC/RES/S-9/1,A/HRC/RES/S-10/1,A/HRC/RES/10/5,A/HRC/RES/10/11,A/HRC/RES/10/16,A/HRC/RES/10/17,A/HRC/RES/10/18,A/HRC/RES/10/19,A/HRC/RES/10/21,A/HRC/RES/10/22,A/HRC/RES/10/24,A/HRC/RES/10/25,A/HRC/RES/10/30,A/HRC/RES/10/33,A/HRC/DEC/10/117,A/HRC/RES/S-11/1,A/HRC/RES/11/4,A/HRC/RES/11/5,A/HRC/RES/11/10,A/HRC/RES/12/9,A/HRC/RES/12/21,A/HRC/RES/12/22,A/HRC/RES/12/23,A/HRC/DEC/12/119,A/HRC/RES/S-12/1,A/HRC/RES/13/1,A/HRC/RES/13/5,A/HRC/RES/13/6,A/HRC/RES/13/7,A/HRC/RES/13/8,A/HRC/RES/13/9,A/HRC/RES/13/14,A/HRC/RES/13/16,A/HRC/RES/14/1,A/HRC/RES/14/3,A/HRC/RES/14/4,A/HRC/15/L.35,A/HRC/RES/15/1,A/HRC/RES/15/6,A/HRC/RES/15/12,A/HRC/RES/15/13,A/HRC/RES/15/24,A/HRC/RES/15/25,A/HRC/RES/15/26,A/HRC/RES/15/27,A/HRC/RES/16/3,A/HRC/RES/16/8,A/HRC/RES/16/9,A/HRC/RES/16/10,A/HRC/RES/16/14,A/HRC/RES/16/17,A/HRC/RES/16/20,A/HRC/RES/16/29,A/HRC/RES/16/30,A/HRC/RES/16/31,A/HRC/RES/16/32,A/HRC/RES/S-16/1,A/HRC/RES/17/6,A/HRC/RES/17/7,A/HRC/RES/17/10,A/HRC/RES/17/16,A/HRC/RES/17/19,A/HRC/RES/17/22,A/HRC/RES/17/23,A/HRC/RES/17/24,A/HRC/RES/S-17/1,A/HRC/18/L.33,A/HRC/18/L.34,A/HRC/RES/18/4,A/HRC/RES/18/5,A/HRC/RES/18/6,A/HRC/RES/18/20,A/HRC/RES/18/26,A/HRC/RES/18/27,A/HRC/DEC/18/120,A/HRC/RES/S-18/1,A/HRC/RES/19/1,A/HRC/19/L.41,A/HRC/19/L.42,A/HRC/RES/19/2,A/HRC/RES/19/3,A/HRC/RES/19/12,A/HRC/RES/19/14,A/HRC/RES/19/15,A/HRC/RES/19/16,A/HRC/RES/19/17,A/HRC/RES/19/18,A/HRC/RES/19/22,A/HRC/RES/19/32,A/HRC/RES/19/34,A/HRC/RES/19/36,A/HRC/RES/19/38,A/HRC/RES/S-19/1,A/HRC/RES/20/10,A/HRC/RES/20/13,A/HRC/RES/20/15,A/HRC/RES/20/22,A/HRC/RES/21/3,A/HRC/RES/21/8,A/HRC/RES/21/9,A/HRC/RES/21/10,A/HRC/RES/21/19,A/HRC/RES/21/26,A/HRC/RES/21/32,A/HRC/RES/21/33
JPN,1,0,0,0,0,1,2,1,2,1,0,2,2,0,0,0,1,0,0,0,0,2,2,0,2,1,2,2,2,2,0,0,1,1,1,2,0,2,2,2,0,0,0,0,0,2,2,0,0,1,2,1,2,2,2,1,1,0,2,1,2,0,0,1,0,0,0,2,0,2,0,2,1,1,2,2,1,2,2,0,0,4,2,2,0,0,0,1,0,1,0,1,1,0,0,2,1,2,1,1,2,1,0,0,1,0,1,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
KGZ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,3,1,4,1,1,1,3,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,4,1,1,1,1,1,1,1,1,1,3,1,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
KOR,1,2,2,2,2,1,2,0,2,1,0,2,1,0,0,0,1,0,2,0,2,2,2,0,2,1,2,2,2,2,0,0,1,1,1,2,0,2,2,2,0,0,0,2,2,2,2,2,0,1,2,1,2,2,2,1,1,0,2,1,2,0,0,1,0,0,0,2,0,2,2,2,1,1,2,2,1,0,2,0,0,4,2,2,0,0,0,1,0,1,0,1,1,2,0,2,2,2,1,1,2,1,0,0,2,0,1,0,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
KWT,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,1,1,1,1,1,1,1,1,1,2,4,0,1,2,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,2,1,1,1
LBY,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
LKA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MAR,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MDA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,1,0,1,2,1,1,0,0,2,2,2,1,1,2,1,0,0,2,0,0,0,2,2,1,4,0,0,0,0,2,1,2,0,1,1,3,4,1,0,1,2,1,1,2,2,1,0,1,1,2,1,0,2,2,1,2,0,0,0,2,1,1,2
MDG,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,2,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MDV,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4,2,2,1,1,1,1,1,1,1,1,2,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
MEX,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,2,1,1,0,1,1,2,2,1,1,1,1,1,2,1,0,1,1,2,4,1,2,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,4,2,2,1,2,1,1,1,1,1,1,0,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,0,2,2,1,2,1,1,1
MLI,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MRT,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,1,1,1,1,0,1,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,2,4,2,2,2,2,1,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
MUS,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,2,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1
MYS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
NGA,2,2,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,0,1,4,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1
NIC,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
NLD,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,2,2,2,0,0,0,0,0,2,2,0,0,1,2,1,0,2,0,1,1,0,2,1,0,0,0,1,0,0,0,2,0,0,0,2,1,1,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
